Acc [0.9216, 0.9295, 0.908, 0.9261, 0.9324]
Pre [0.9206, 0.9479, 0.9145, 0.9157, 0.9384]
Recall [0.9227, 0.9091, 0.9, 0.9386, 0.9257]
F1 [0.9217, 0.9281, 0.9072, 0.927, 0.932]
Auc [0.9627, 0.9724, 0.9608, 0.9753, 0.9744]
Prc [0.9663, 0.976, 0.9627, 0.9753, 0.9763]
AUC mean: 0.9691, standard deviation: 0.0061
Accuracy mean: 0.9235, standard deviation: 0.0086
Precision mean: 0.9274, standard deviation: 0.0133
Recall mean: 0.9192, standard deviation: 0.0134
F1-score mean: 0.9232, standard deviation: 0.0087
PRC mean: 0.9713, standard deviation: 0.0057
